ref_no,pmid,doi,year,topic,section,subtopic,n_citations,ms_pages,citation,url,claim
586,20124187,,2010,"systemic therapy, advanced/metastatic",Recurrent/Stage IV Breast Cancer > Management of Recurrent or Stage IV Disease > Therapy for HER2-Positive Breast Cancer > Fourth-line of Therapy and Beyond for HER2-Positive Breast Cancer,,1,204,"Blackwell KL, Burstein HJ, Storniolo AM, et al. Randomized study of lapatinib alone or in combination with trastuzumab in women with ErbB2- positive, trastuzumab-refractory metastatic breast cancer. J Clin Oncol 2010;28:1124-1130.",http://www.ncbi.nlm.nih.gov/pubmed/20124187,Results from a phase III trial in which patients with heavily pretreated metastatic breast cancer and disease progression on trastuzumab therapy randomly assigned to trastuzumab + lapatinib or lapatinib monotherapy showed that PFS was increased from 8.1 to 12 weeks (P = .008) with the combination.
587,22689807,,2012,"systemic therapy, advanced/metastatic",Recurrent/Stage IV Breast Cancer > Management of Recurrent or Stage IV Disease > Therapy for HER2-Positive Breast Cancer > Fourth-line of Therapy and Beyond for HER2-Positive Breast Cancer,,2,204,"Blackwell KL, Burstein HJ, Storniolo AM, et al. Overall survival benefit with lapatinib in combination with trastuzumab for patients with human epidermal growth factor receptor 2-positive metastatic breast cancer: final results from the EGF104900 Study. J Clin Oncol 2012;30:2585-2592.",http://www.ncbi.nlm.nih.gov/pubmed/22689807,"The OS analysis data showed that lapatinib + trastuzumab improved median survival by 4.5 months, with median OS of 14 months for the combination therapy and 9.5 months for lapatinib alone (HR, 0.74; 95% CI, 0.57-0.97; P = .026)."
588,30860945,,2019,"systemic therapy, advanced/metastatic",Recurrent/Stage IV Breast Cancer > Management of Recurrent or Stage IV Disease > Therapy for HER2-Positive Breast Cancer > Fourth-line of Therapy and Beyond for HER2-Positive Breast Cancer,,3,204,"Freedman RA, Gelman RS, Anders CK, et al. TBCRC 022: A phase II trial of neratinib and capecitabine for patients with human epidermal growth factor receptor 2-positive breast cancer and brain metastases. J Clin Oncol 2019;37:1081-1089.",https://www.ncbi.nlm.nih.gov/pubmed/30860945,"In a phase II trial of patients (n = 49) with progressive, HER2-positive disease and brain metastases (92% received CNS surgery and/or radiotherapy),"
589,,10.1200/JCO,2019,"systemic therapy, advanced/metastatic",Recurrent/Stage IV Breast Cancer > Management of Recurrent or Stage IV Disease > Therapy for HER2-Positive Breast Cancer > Fourth-line of Therapy and Beyond for HER2-Positive Breast Cancer,,1,204,"Saura C, Oliveira M, Feng Y-H, et al. Neratinib + capecitabine versus lapatinib + capecitabine in patients with HER2+ metastatic breast cancer previously treated with ≥ 2 HER2-directed regimens: Findings from the multinational, randomized, phase III NALA trial. Journal of Clinical Oncology 2019;37:1002-1002.",https://ascopubs.org/doi/abs/10.1200/JCO.2019.37.15_suppl.1002,A prospective randomized phase III trial (NALA) randomized patients (n = 621) with HER2-positive breast cancer to neratinib in combination with capecitabine or lapatinib + capecitabine until disease progression.
590,36332179,,2023,"systemic therapy, advanced/metastatic",Recurrent/Stage IV Breast Cancer > Management of Recurrent or Stage IV Disease > Therapy for HER2-Positive Breast Cancer > Fourth-line of Therapy and Beyond for HER2-Positive Breast Cancer,,1,204,"Rugo HS, Im SA, Cardoso F, et al. Margetuximab Versus Trastuzumab in Patients With Previously Treated HER2-Positive Advanced Breast Cancer (SOPHIA): Final Overall Survival Results From a Randomized Phase 3 Trial. J Clin Oncol 2023;41:198-205.",https://www.ncbi.nlm.nih.gov/pubmed/36332179,"In the phase III SOPHIA trial, patients (n = 536) with disease progression after at least two lines of anti-HER2 therapy, the addition of margetuximab-cmkb to chemotherapy prolonged PFS compared with trastuzumab + chemotherapy (median PFS, 5.8 vs 4.9 months; HR, 0.76; 95% CI, 0.59-0.98) whereas the "
591,33480963,,2021,"systemic therapy, advanced/metastatic",Recurrent/Stage IV Breast Cancer > Management of Recurrent or Stage IV Disease > Therapy for HER2-Positive Breast Cancer > Fourth-line of Therapy and Beyond for HER2-Positive Breast Cancer,,1,204,"Rugo HS, Im SA, Cardoso F, et al. Efficacy of Margetuximab vs Trastuzumab in Patients With Pretreated ERBB2-Positive Advanced Breast Cancer: A Phase 3 Randomized Clinical Trial. JAMA Oncol 2021;7:573-584.",https://www.ncbi.nlm.nih.gov/pubmed/33480963,"In the phase III SOPHIA trial, patients (n = 536) with disease progression after at least two lines of anti-HER2 therapy, the addition of margetuximab-cmkb to chemotherapy prolonged PFS compared with trastuzumab + chemotherapy (median PFS, 5.8 vs 4.9 months; HR, 0.76; 95% CI, 0.59-0.98) whereas the "
592,19786670,,2009,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer",,1,205,"Kaufman B, Mackey JR, Clemens MR, et al. Trastuzumab plus anastrozole versus anastrozole alone for the treatment of postmenopausal women with human epidermal growth factor receptor 2- positive, hormone receptor-positive metastatic breast cancer: results from the randomized phase III TAnDEM study. J Clin Oncol 2009;27:5529-5537.",http://www.ncbi.nlm.nih.gov/pubmed/19786670,"In the TAnDEM study, postmenopausal patients (n = 207) with metastatic HR-positive and HER2-positive tumors were randomized to receive anastrozole alone or anastrozole + trastuzumab."
593,21862331,,2012,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer",,1,205,"Huober J, Fasching PA, Barsoum M, et al. Higher efficacy of letrozole in combination with trastuzumab compared to letrozole monotherapy as first-line treatment in patients with HER2-positive, hormone-receptor-positive metastatic breast cancer - results of the eLEcTRA trial. Breast 2012;21:27-33.",https://www.ncbi.nlm.nih.gov/pubmed/21862331,"The results are consistent with the TAnDEM trial; however, due to smaller numbers of patients enrolled in this trial, this was not statistically significant (HR, 0.67; 95% CI, 0.35-1.29; P = .23)."
594,19786658,,2009,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer",,2,205,"Johnston S, Pippen J, Pivot X, et al. Lapatinib combined with letrozole versus letrozole and placebo as first-line therapy for postmenopausal hormone receptor-positive metastatic breast cancer. J Clin Oncol 2009;27:5538-5546.",http://www.ncbi.nlm.nih.gov/pubmed/19786658,"In a phase III study of postmenopausal patients (n = 219) with HER2- positive and HR-positive disease, first-line treatment with lapatinib + letrozole reduced the risk of disease progression compared to treatment with letrozole alone (median PFS, 8.2 vs 3.0 months; HR, 0.71; 95% CI, 0.53-0.96; P = ."
595,,10.1200/JCO,2017,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer",,2,205,"Gradishar WJ, Hegg R, Im S-A, et al. Phase III study of lapatinib (L) plus trastuzumab (T) and aromatase inhibitor (AI) vs T+AI vs L+AI in postmenopausal women (PMW) with HER2+, HR+ metastatic breast cancer (MBC): ALTERNATIVE. Journal of Clinical Oncology 2017;35:1004-1004.",https://ascopubs.org/doi/abs/10.1200/JCO.2017.35.15_suppl.1004,"In the ALTERNATIVE trial, postmenopausal patients (n = 355) with HER2-positive, HR-positive metastatic breast cancer were randomized to receive lapatinib + trastuzumab + an AI, lapatinib + an AI, or trastuzumab + an AI without chemotherapy."
596,30106636,,2018,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer","Maintenance Therapy for HR-positive, HER-2 Positive Tumors:",2,206,"Rimawi M, Ferrero JM, de la Haba-Rodriguez J, et al. First-line trastuzumab plus an aromatase inhibitor, with or without pertuzumab, in human epidermal growth factor receptor 2-positive and hormone receptor-positive metastatic or locally advanced breast cancer (PERTAIN): A randomized, open-label phase II trial. J Clin Oncol 2018;36:2826-2835.",https://www.ncbi.nlm.nih.gov/pubmed/30106636,"There was an improvement in PFS with the three-drug combination (18.9 vs 15.8 months; HR, 0.65; 95% CI, 0.48-0.89)."
597,,,2020,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Cytotoxic Therapy for Triple Negative Breast Cancer",,2,207,"Cortes J, Cescon DW, Rugo HS, et al. Pembrolizumab plus chemotherapy versus placebo plus chemotherapy for previously untreated locally recurrent inoperable or metastatic triple-negative breast cancer (KEYNOTE-355): a randomised, placebo-controlled, double-blind, phase 3 clinical trial. Lancet 2020;396:1817-1828.",,"In KEYNOTE 355, patients (n = 847) with locally recurrent, inoperable, or metastatic TNBC and a disease-free interval of ≥6 months, were randomly assigned to receive chemotherapy (with nab-paclitaxel, paclitaxel, or gemcitabine/carboplatin) alone or in combination with pembrolizumab."
598,35857659,,2022,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Cytotoxic Therapy for Triple Negative Breast Cancer",,1,207,"Cortes J, Rugo HS, Cescon DW, et al. Pembrolizumab plus Chemotherapy in Advanced Triple-Negative Breast Cancer. N Engl J Med 2022;387:217-226.",https://www.ncbi.nlm.nih.gov/pubmed/35857659,"The OS benefit among patients with a CPS ≥10 was also significantly higher in those receiving pembrolizumab (23.0 vs 16.1 months; HR, 0.73; 95% CI, 0.55-0.95)."
599,41564397,,2026,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Cytotoxic Therapy for Triple Negative Breast Cancer",,4,207,"Tolaney SM, de Azambuja E, Kalinsky K, et al. Sacituzumab Govitecan plus Pembrolizumab for Advanced Triple-Negative Breast Cancer. N Engl J Med 2026;394:354-366.",https://www.ncbi.nlm.nih.gov/pubmed/41564397,"The ASCENT-04/KEYNOTE-D19 trial evaluated treatments with sacituzumab govitecan-hziy + pembrolizumab compared with chemotherapy + pembrolizumab in patients (n = 443) with previously untreated, locally advanced unresectable or metastatic TNBC whose tumors express PD-L1."
600,41124233,,2025,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Cytotoxic Therapy for Triple Negative Breast Cancer",,2,207,"Cortes J, Punie K, Barrios C, et al. Sacituzumab Govitecan in Untreated, Advanced Triple-Negative Breast Cancer. N Engl J Med 2025;393:1912-1925.",https://www.ncbi.nlm.nih.gov/pubmed/41124233,"In the phase III ASCENT-03 trial, patients (n = 558) treated with sacituzumab govitecan-hziy had improved median PFS compared with those treated with chemotherapy (9.7 vs 6.9 months; HR, 0.62; P < .001) and response duration was higher as well (12.2 vs 7.2 months), although response rates (48% vs 46"
601,29529389,,2018,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,208,"Kruse M, Abraham J. Management of chemotherapy-induced alopecia with scalp cooling. J Oncol Pract 2018;14:149-154.",https://www.ncbi.nlm.nih.gov/pubmed/29529389,The data on efficacy of scalp cooling is mainly from the adjuvant setting and also show that results may be less effective with anthracycline-containing regimens.
602,28196254,,2017,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,208,"Nangia J, Wang T, Osborne C, et al. Effect of a scalp cooling device on alopecia in women undergoing chemotherapy for breast cancer: The SCALP randomized clinical trial. JAMA 2017;317:596-605.",https://www.ncbi.nlm.nih.gov/pubmed/28196254,The data on efficacy of scalp cooling is mainly from the adjuvant setting and also show that results may be less effective with anthracycline-containing regimens.
603,,,2017,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,208,"Rugo HS, Klein P, Melin SA, et al. Association between use of a scalp cooling device and alopecia after chemotherapy for breast cancer. JAMA 2017;317:606-614.",,The data on efficacy of scalp cooling is mainly from the adjuvant setting and also show that results may be less effective with anthracycline-containing regimens.
604,28275922,,2017,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,208,"Rugo HS, Melin SA, Voigt J. Scalp cooling with adjuvant/neoadjuvant chemotherapy for breast cancer and the risk of scalp metastases: systematic review and meta-analysis. Breast Cancer Res Treat 2017;163:199-205.",https://www.ncbi.nlm.nih.gov/pubmed/28275922,The data on efficacy of scalp cooling is mainly from the adjuvant setting and also show that results may be less effective with anthracycline-containing regimens.
605,31448235,,2019,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,208,"Kinoshita T, Nakayama T, Fukuma E, et al. Efficacy of Scalp Cooling in Preventing and Recovering From Chemotherapy-Induced Alopecia in Breast Cancer Patients: The HOPE Study. Front Oncol 2019;9:733.",https://www.ncbi.nlm.nih.gov/pubmed/31448235,The data on efficacy of scalp cooling is mainly from the adjuvant setting and also show that results may be less effective with anthracycline-containing regimens.
606,29660543,,2018,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,208,"Vasconcelos I, Wiesske A, Schoenegg W. Scalp cooling successfully prevents alopecia in breast cancer patients undergoing anthracycline/taxane-based chemotherapy. Breast 2018;40:1-3.",https://www.ncbi.nlm.nih.gov/pubmed/29660543,The data on efficacy of scalp cooling is mainly from the adjuvant setting and also show that results may be less effective with anthracycline-containing regimens.
607,25261162,,2014,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,208,"Seretny M, Currie GL, Sena ES, et al. Incidence, prevalence, and predictors of chemotherapy-induced peripheral neuropathy: A systematic review and meta-analysis. Pain 2014;155:2461-2470.",https://www.ncbi.nlm.nih.gov/pubmed/25261162,Chemotherapy-induced peripheral neuropathy is a common adverse effect of several cytotoxic drugs including taxanes and platinum therapies.
608,33489425,,2020,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,209,"Sphar BG, Bowe C, Dains JE. The impact of peripheral cooling on chemotherapy-induced peripheral neuropathy: An integrative review. J Adv Pract Oncol 2020;11:845-857.",https://www.ncbi.nlm.nih.gov/pubmed/33489425,"In order to decrease the risk of peripheral neuropathy, when receiving a taxane-containing regimen, the Panel also recommends considering cryotherapy of hands and feet."
609,29924336,,2018,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,209,"Hanai A, Ishiguro H, Sozu T, et al. Effects of cryotherapy on objective and subjective symptoms of paclitaxel-induced neuropathy: Prospective self-controlled trial. J Natl Cancer Inst 2018;110:141-148.",https://www.ncbi.nlm.nih.gov/pubmed/29924336,"In order to decrease the risk of peripheral neuropathy, when receiving a taxane-containing regimen, the Panel also recommends considering cryotherapy of hands and feet."
610,40048176,,2025,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer",Third-line and Beyond:,1,209,"Michel LL, Schwarz D, Romar P, et al. Efficacy of hand cooling and compression in preventing taxane-induced neuropathy: The POLAR randomized clinical trial. JAMA Oncol 2025;11:408-415.",https://www.ncbi.nlm.nih.gov/pubmed/40048176,Use of glove constriction may also be considered as it helps with reducing peripheral neuropathy.
611,11709565,,2001,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"Perez EA, Vogel CL, Irwin DH, et al. Multicenter phase II trial of weekly paclitaxel in women with metastatic breast cancer. J Clin Oncol 2001;19:4216-4223.",http://www.ncbi.nlm.nih.gov/pubmed/11709565,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2)"
612,1987737,,1991,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"Gasparini G, Dal Fior S, Panizzoni GA, et al. Weekly epirubicin versus doxorubicin as second line therapy in advanced breast cancer. A randomized clinical trial. Am J Clin Oncol 1991;14:38-44.",http://www.ncbi.nlm.nih.gov/pubmed/1987737,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin"
613,14998846,,2004,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"O'Brien ME, Wigler N, Inbar M, et al. Reduced cardiotoxicity and comparable efficacy in a phase III trial of pegylated liposomal doxorubicin HCl (CAELYX/Doxil) versus conventional doxorubicin for first-line treatment of metastatic breast cancer. Ann Oncol 2004;15:440- 449.",http://www.ncbi.nlm.nih.gov/pubmed/14998846,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin and liposomal doxorubicin"
614,15710946,,2005,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"Bajetta E, Procopio G, Celio L, et al. Safety and efficacy of two different doses of capecitabine in the treatment of advanced breast cancer in older women. J Clin Oncol 2005;23:2155-2161.",https://www.ncbi.nlm.nih.gov/pubmed/15710946,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin and liposomal doxorubicin ), antimetabolites (capecitabine"
615,39917581,,2025,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"Khan QJ, Bohnenkamp C, Monson TE, et al. Randomized Trial of Fixed-Dose Capecitabine Compared With Standard-Dose Capecitabine in Metastatic Breast Cancer: X-7/7 Trial. JCO Oncol Adv 2025;2:e2400068.",https://www.ncbi.nlm.nih.gov/pubmed/39917581,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin and liposomal doxorubicin ), antimetabolites (capecitabine"
616,,,2001,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,Seidman AD. Gemcitabine as single-agent therapy in the management of advanced breast cancer. Oncology (Williston Park) 2001;15:11-14.,,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin and liposomal doxorubicin ), antimetabolites (capecitabine and gemcitabine"
617,21376385,,2011,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"Cortes J, O'Shaughnessy J, Loesch D, et al. Eribulin monotherapy versus treatment of physician's choice in patients with metastatic breast cancer (EMBRACE): a phase 3 open-label randomised study. Lancet 2011;377:914-923.",http://www.ncbi.nlm.nih.gov/pubmed/21376385,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin and liposomal doxorubicin ), antimetabolites (capecitabine and gemcitabine ), and microtubule inhibitors (eribulin"
618,25605862,,2015,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"Kaufman PA, Awada A, Twelves C, et al. Phase III open-label randomized study of eribulin mesylate versus capecitabine in patients with locally advanced or metastatic breast cancer previously treated with an anthracycline and a taxane. J Clin Oncol 2015;33:594-601.",http://www.ncbi.nlm.nih.gov/pubmed/25605862,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin and liposomal doxorubicin ), antimetabolites (capecitabine and gemcitabine ), and microtubule inhibitors (eribulin"
619,11745280,,2001,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Preferred Chemotherapy Regimens",,1,209,"Zelek L, Barthier S, Riofrio M, et al. Weekly vinorelbine is an effective palliative regimen after failure with anthracyclines and taxanes in metastatic breast carcinoma. Cancer 2001;92:2267-2272.",http://www.ncbi.nlm.nih.gov/pubmed/11745280,"Among preferred single agents, the NCCN Panel has included taxanes (paclitaxel) weekly (80 mg/m2) or every 3 weeks (175 mg/m2), anthracyclines (doxorubicin and liposomal doxorubicin ), antimetabolites (capecitabine and gemcitabine ), and microtubule inhibitors (eribulin and vinorelbine"
620,15860867,,2005,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Other Recommended Chemotherapy Regimens",,1,209,"Jones EL, Oleson JR, Prosnitz LR, et al. Randomized trial of hyperthermia and radiation for superficial tumors. J Clin Oncol 2005;23:3079-3085.",http://www.ncbi.nlm.nih.gov/pubmed/15860867,"Other Recommended Chemotherapy Regimens Among other recommended single agents, the NCCN Panel has included taxanes (docetaxel,"
621,16172456,,2005,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Other Recommended Chemotherapy Regimens",,1,209,"Gradishar WJ, Tjulandin S, Davidson N, et al. Phase III trial of nanoparticle albumin-bound paclitaxel compared with polyethylated castor oil-based paclitaxel in women with breast cancer. J Clin Oncol 2005;23:7794-7803.",http://www.ncbi.nlm.nih.gov/pubmed/16172456,"Other Recommended Chemotherapy Regimens Among other recommended single agents, the NCCN Panel has included taxanes (docetaxel, albumin-bound paclitaxel"
622,19470941,,2009,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Other Recommended Chemotherapy Regimens",,1,209,"Gradishar WJ, Krasnojon D, Cheporov S, et al. Significantly longer progression-free survival with nab-paclitaxel compared with docetaxel as first-line therapy for metastatic breast cancer. J Clin Oncol 2009;27:3611-3619.",https://www.ncbi.nlm.nih.gov/pubmed/19470941,"Other Recommended Chemotherapy Regimens Among other recommended single agents, the NCCN Panel has included taxanes (docetaxel, albumin-bound paclitaxel"
623,8648369,,1996,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Other Recommended Chemotherapy Regimens",,1,209,"Bastholt L, Dalmark M, Gjedde SB, et al. Dose-response relationship of epirubicin in the treatment of postmenopausal patients with metastatic breast cancer: a randomized study of epirubicin at four different dose levels performed by the Danish Breast Cancer Cooperative Group. J Clin Oncol 1996;14:1146-1155.",http://www.ncbi.nlm.nih.gov/pubmed/8648369,"Other Recommended Chemotherapy Regimens Among other recommended single agents, the NCCN Panel has included taxanes (docetaxel, albumin-bound paclitaxel ), anthracyclines (epirubicin"
624,17606972,,2007,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Other Recommended Chemotherapy Regimens",,1,209,"Roche H, Yelle L, Cognetti F, et al. Phase II clinical trial of ixabepilone (BMS-247550), an epothilone B analog, as first-line therapy in patients with metastatic breast cancer previously treated with anthracycline chemotherapy. J Clin Oncol 2007;25:3415-3420.",http://www.ncbi.nlm.nih.gov/pubmed/17606972,"Other Recommended Chemotherapy Regimens Among other recommended single agents, the NCCN Panel has included taxanes (docetaxel, albumin-bound paclitaxel ), anthracyclines (epirubicin ), and ixabepilone"
625,17606975,,2007,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Other Recommended Chemotherapy Regimens",,1,209,"Thomas E, Tabernero J, Fornier M, et al. Phase II clinical trial of ixabepilone (BMS-247550), an epothilone B analog, in patients with taxane-resistant metastatic breast cancer. J Clin Oncol 2007;25:3399- 3406.",http://www.ncbi.nlm.nih.gov/pubmed/17606975,"Other Recommended Chemotherapy Regimens Among other recommended single agents, the NCCN Panel has included taxanes (docetaxel, albumin-bound paclitaxel ), anthracyclines (epirubicin ), and ixabepilone"
626,17606974,,2007,"systemic therapy, advanced/metastatic","Recurrent/Stage IV Breast Cancer > Endocrine-based Therapy for HR-Positive, HER2-Postive Breast Cancer > Chemotherapy for HR-Positive or -Negative and HER2-Negative Breast Cancer > Other Recommended Chemotherapy Regimens",,1,209,"Perez EA, Lerzo G, Pivot X, et al. Efficacy and safety of ixabepilone (BMS-247550) in a phase II study of patients with advanced breast cancer resistant to an anthracycline, a taxane, and capecitabine. J Clin Oncol 2007;25:3407-3414.",http://www.ncbi.nlm.nih.gov/pubmed/17606974,"Other Recommended Chemotherapy Regimens Among other recommended single agents, the NCCN Panel has included taxanes (docetaxel, albumin-bound paclitaxel ), anthracyclines (epirubicin ), and ixabepilone"
